"par","value","sd"
"Range",0.486117926965206,0.013697922934163
"SigmaE",0.333033664540972,0.00592471483483646
"SigmaO",0.358185572702109,0.0111772739473035
"Sigma",0.737664370628046,0.00158652380004332
"cph_t",0.453215002216756,0.143358729160579
"cph_t",0.443785398744054,0.140263347601028
"cph_t",0.481900248802825,0.152300963632203
"cph_t",0.480010113141984,0.151728895553414
"cph_t",0.484552033529722,0.15318028559159
"cph_t",0.447250423139609,0.141486962277753
"cph_t",0.464591662176855,0.14689957350409
"cph_t",0.499955510359192,0.157999926062877
"cph_t",0.523745037192464,0.165551795636662
"cph_t",0.527666911218229,0.166804562521696
"cph_t",0.481735230092546,0.152258671596847
"cph_t",0.451668735631859,0.142720573043175
"cph_t",0.412570080222437,0.130340155940721
"cph_t",0.398852763772231,0.125999406389679
"cph_t",0.342781435187875,0.108273294356467
"cph_t",0.315445211767283,0.0996390995333055
"cph_t",0.288662536080477,0.0912462837997999
"cph_t",0.2891495092865,0.0913988732837458
