"par","value","sd","table"
"beta",0.0967784080193592,0.286834046694934,"0.0968 (0.287)"
"gamma",0.0495415580164845,0.0103575626328434,"0.0495 (0.0104)"
"lambda",0.550389623407101,1.63898440941103,"0.55 (1.64)"
"max_ehook",1.62168753028113,0.262837579162481,"1.62 (0.263)"
"sigma_mean",0.628312447422478,0.0575401984856178,"0.628 (0.0575)"
"sigma_sd",0.197238040890785,0.045529526647827,"0.197 (0.0455)"
"eta_mean",0.357230479901409,0.250825555654171,"0.357 (0.251)"
"eta_sd",0.704007299196125,0.139488949074988,"0.704 (0.139)"
